港澳台,#genre#
NBC Sports 波士顿,https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
Tigo Sports危地马拉,https://cnm-tsl.otteravision.com/cnm/tsl/tsl.m3u8
NBC Sports Chicago Plus,https://nbculocalfast.akamaized.net/hls/live/2096797/nbcchicago/master.m3u8
天空体育超级联赛,https://rightsboosterltd-scl-1-se.samsung.wurl.tv/playlist.m3u8
英国 - 天空体育足球 UHD,https://d85lu9l3axp7b.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-49b4g6287mnav/playlist.m3u8
沙迦体育,https://svs.itworkscdn.net/smc4sportslive/smc4.smil/playlist.m3u8
新英格兰体育网络 Plus,http://oneamericanews-roku-us.amagi.tv/playlist.m3u8
复古音乐电视,https://gusto-localnow.amagi.tv/playlist.m3u8
PTC 音乐,https://streaming.ptcplay.com/ptcMusicINOne/smil:Live.smil/playlist.m3u8
波斯音乐,https://musichls.persiana.live/hls/stream.m3u8
氧气音乐,https://oxygenmusic.hu:2443/hls/oxygenmusic.m3u8
血腥恶心的电视,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01201-cinedigmenterta-bloodydisgus-cineverse/playlist.m3u8
您的音乐高清,https://cloudflare.streamgato.us:3125/live/megacinetvlive.m3u8
佩尼尔音乐剧,https://s.emisoras.tv:8081/penielmusical/index.m3u8
音乐Kronehit TV HD,https://bitcdn-kronehit.bitmovin.com/v2/hls/chunklist_b1628000.m3u8
BelAiR TV巴黎电视博物馆,https://rakutenaa-museumtv-fr-rakuten-nilyp.amagi.tv/playlist/rakutenAA-museumtv-fr-rakuten/playlist.m3u8
3ABN 赞美他音乐网,https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8
老式电视,https://video01.kshost.com.br:4443/rogerio7271/rogerio7271/playlist.m3u8
电动电视,http://stream.mediawork.cz/retrotv//retrotvHQ1/chunklist_w119998573.m3u8
FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FASHION TV时装,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
MyTime movie,https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
Retrô 卡通,https://stmv1.srvif.com/retrotv/retrotv/playlist-480p.m3u8

日韩频道,#genre#
ＢＳテレ東,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS171&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＢＳフジ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS181&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＷＯＷＯＷプライム,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS191&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＷＯＷＯＷライブ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS192&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＷＯＷＯＷシネマ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS193&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
スターチャンネル,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS200&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
スターチャンネル2,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS201&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
スターチャンネル3,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS202&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＢＳアニマックス,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS236&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
Ｊ　ＳＰＯＲＴＳ　１,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS242&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
Ｊ　ＳＰＯＲＴＳ　２,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS243&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
Ｊ　ＳＰＯＲＴＳ　３,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS244&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
Ｊ　ＳＰＯＲＴＳ　４,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS245&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＢＳ釣りビジョン,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS251&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
日本映画専門ｃｈ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS255&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＢＳＪａｐａｎｅｘｔ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS263&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＮＨＫ総合　東京,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS291&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＮＨＫＥテレ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS292&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
日テレ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS294&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
テレビ朝日,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS295&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
ＴＢＳ,https://stream02.willfonk.com/live_playlist.m3u8?cid=BS296&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
